GLaDOS_anti_taunt14|You really aren't getting tired of that, are you?
GLaDOS_coop_test_chamber_blue03|I've been listening to Orange talk, and I don't know how you put up with it. I really don't. You have the patience of a saint.
GLaDOS_coop_test_chamber_blue06|I can't keep quiet about this. I think Orange is actively trying to sabotage your success. Let's keep this between us.
GLaDOS_coop_test_chamber_both12|As an impartial collaboration facilitator, it would be unfair of me to name my favorite member of your team. However, it's perfectly fair to hint at it in a way that my least favorite member probably isn't smart enough to understand. Rhymes with glue, orange, you are doing very well.
GLaDOS_coop_test_chamber_oneplayer37|You have a gift for these tests. That's not just battery. You are great at science.
GLaDOS_coop_test_chamber_orange03|It would be pointless for either of us to hurt Blue's feelings, but it's clear to everyone monitoring the test who's carrying who here.
GLaDOS_dlc1_leaderboard01|That was genuinely mildly impressive.
GLaDOS_dlc1_leaderboard03|Congratulations!
GLaDOS_dlc1_leaderboard04|food.
GLaDOS_dlc1_leaderboard05|BAD NEWS
GLaDOS_dlc1_leaderboard06|Impressive.
GLaDOS_dlc1_leaderboard07|Maybe I was wrong about you.
GLaDOS_dlc1_leaderboard08|You've beaten your own record.
GLaDOS_dlc1_leaderboard09|You're getting worse.
GLaDOS_dlc1_leaderboard10|You have a new rank.
GLaDOS_dlc1_leaderboard11|You have a new, better rank.
GLaDOS_dlc1_leaderboard12|You have a new, worse rank.
GLaDOS_dlc1_leaderboard13|You have a new, worse rank. Congratulations, to everyone above you.
GLaDOS_dlc1_leaderboard14|You almost beat your friend's record. Almost. I want to stress that.
GLaDOS_dlc1_leaderboard15|You almost beat your friend's record, but you didn't. It might be easier just to find new friends.
GLaDOS_dlc1_leaderboard16|Congratulations, you are better than everyone.
GLaDOS_dlc1_leaderboard17|You are faster than everyone.
GLaDOS_dlc1_leaderboard18|You used less portals than anyone.
GLaDOS_dlc1_leaderboard19|You're better than everyone, for now.
GLaDOS_dlc1_leaderboard20|You are playing above the global average. Statistically speaking, there are actually people playing worse than you.
GLaDOS_dlc1_leaderboard21|Maybe I was wrong about you.
GLaDOS_dlc1_leaderboard22|You've beaten your own record, that's a low bar, but you managed to gently tiptoe over it.
GLaDOS_dlc1_leaderboard23|Very not completely bad.
GLaDOS_dlc1_leaderboard24|Oops.
GLaDOS_dlc1_mp_coop_2paints_1bridge_introb01|I call this piece
GLaDOS_dlc1_mp_coop_2paints_1bridge_outrob01|You know, some of the exhibits up ahead are topical. At the rate you're going, by the time you get to them, they'll be irrelevant.
GLaDOS_dlc1_mp_coop_art_death_acid01|The subtext of that acid pit is acid, the content of the pit is also acid, I'll let you fully absorb it.
GLaDOS_dlc1_mp_coop_art_death_acid02|Remember, these exhibits are interactive, like a children's museum. So that means the pits of acid are filled with real acid, like at a well-funded children's museum.
GLaDOS_dlc1_mp_coop_art_death_acid04|Are you having a competition to see who appreciates the corrosive acid more?
GLaDOS_dlc1_mp_coop_art_death_acid05|I'm starting to think the theme of this piece should be failure.
GLaDOS_dlc1_mp_coop_art_death_acid06|Yes, I get it. You love the deadly acid. We all love the deadly acid. Can we move on to the next exhibit now?
GLaDOS_dlc1_mp_coop_art_death_generic01|I suffered for this art. I don't see why I should be the only one.
GLaDOS_dlc1_mp_coop_art_death_generic04|The humans took far less time working their way through these exhibits. You're either enjoying it more than they did, or you're just incredibly dim-witted. Of course, there's no reason it can't be both.
GLaDOS_dlc1_mp_coop_art_death_generic07|As art appreciators go, you make excellent test subjects.
GLaDOS_dlc1_mp_coop_art_death_generic08|I typically hate when art subjects inject their own biases into art appreciation, but the way you just swan-dived your biases directly into that acid was actually quite beautiful.
GLaDOS_dlc1_mp_coop_art_death_generic09|For this exhibit, I was working with a death motif, but I see you figured that out.
GLaDOS_dlc1_mp_coop_art_death_generic11|Okay, I'm officially switching the theme of this exhibit to survival. Why don't you try that now?
GLaDOS_dlc1_mp_coop_art_death_generic12|I know this is art and not a test, so there is no real solution. But if there were, that probably isn't the best way to find it.
GLaDOS_dlc1_mp_coop_art_death_turret01|Those bullets were a metaphor for something. Take your time.
GLaDOS_dlc1_mp_coop_bridge_catch_intro04|But don't worry. I've got a plan. Let's keep testing and show her we're not afraid either, no matter how genuinely lethal these tests get for either of you.
GLaDOS_dlc1_mp_coop_bridge_catch_introb01|Oh good. I wasn't sure the reassembler would work.
GLaDOS_dlc1_mp_coop_bridge_catch_introb02|It looks like our mystery woman in the prototype chassis is sending us a message. She's not afraid of me.
GLaDOS_dlc1_mp_coop_bridge_catch_outrob01|Mission accomplished. Now she knows we're not afraid of her either.
GLaDOS_dlc1_mp_coop_bridge_catch_outrob02|That was just to get the scheming juices flowing.
GLaDOS_dlc1_mp_coop_bridge_catch_outrob03|Here's the real scheme. I'm going to turn you into killing machines.
GLaDOS_dlc1_mp_coop_bridge_catch_outrob04|So you can murder her.
GLaDOS_dlc1_mp_coop_catapult_catch_intro01|This chamber represents the impossibility of discovery when bound by artificial ethical considerations for safety. You'll see what I mean.
GLaDOS_dlc1_mp_coop_catapult_catch_outro02|Well done. You navigated all of the exhibit's intended metaphors in record time. I'm marking this art, appreciated.
GLaDOS_dlc1_mp_coop_finalgantry_morale01|To boost morale, I think we need a codename for the Elite Squadron we have here. We should name it after your specialty. I know, Special Team Falling Into Acid Force.
GLaDOS_dlc1_mp_coop_finalgantry_morale03|I'm sorry. I'm under a lot of pressure. That was cruel, though basically accurate, though probably counterproductive.
GLaDOS_dlc1_mp_coop_finalgantry_morale04|Well, that concludes the motivational speech.
GLaDOS_dlc1_mp_coop_finalgantry_morale07|Go get her.
GLaDOS_dlc1_mp_coop_paint_crazy_box_intro03|This is as close as I could get you. The prototype chassis room's just past this chamber.
GLaDOS_dlc1_mp_coop_paint_rat_maze_intro01|I think we've proven at this point that if you scream at a marshmallow, all you get is a scared marshmallow. So let's try positive reinforcement. I am positive these reassembly machines will break down again soon. Probably while you're in them.
GLaDOS_dlc1_mp_coop_paint_rat_maze_intro03|Think about that. She doesn't care about you. I don't either, of course, but I'm not trying to permanently kill you. It's a benevolent indifference.
GLaDOS_dlc1_mp_coop_paint_rat_maze_outro01|These disassembly machines look even worse than the others. If I don't see you on the other side, thanks for nothing.
GLaDOS_dlc1_mp_coop_portal_bts_enterbreaker01|the breakers are right there cycle the power
GLaDOS_dlc1_mp_coop_portal_bts_enterbreaker02|Hurry, we need to start your training before something else happens.
GLaDOS_dlc1_mp_coop_portal_bts_enteroffice01|There's a breaker room under every disassembly station. Find it and cycle the power.
GLaDOS_dlc1_mp_coop_portal_bts_entertest01|Good work. The disassemblers are fixed.
GLaDOS_dlc1_mp_coop_portal_bts_entertest02|That was a lie. But they're definitely less broken than they were. There's one at the end of this unfinished test area.
GLaDOS_dlc1_mp_coop_portal_bts_inoffice01|Look, I was going to break this to you gently with all that art utopia garbage.
GLaDOS_dlc1_mp_coop_portal_bts_inoffice02|But she's forced my hand.
GLaDOS_dlc1_mp_coop_portal_bts_inoffice04|Listen to me carefully.
GLaDOS_dlc1_mp_coop_portal_bts_inoffice05|We are not a hundred thousand years in the future. I lied about that.
GLaDOS_dlc1_mp_coop_portal_bts_inoffice06|It's been 50,000 years. No it hasn't.
GLaDOS_dlc1_mp_coop_portal_bts_inoffice07|It's only been a week.
GLaDOS_dlc1_mp_coop_portal_bts_inoffice08|I lie when I'm nervous.
GLaDOS_dlc1_mp_coop_portal_bts_inoffice09|The next logical question, why am I nervous?
GLaDOS_dlc1_mp_coop_portal_bts_inoffice11|I'm not. That was another lie.
GLaDOS_dlc1_mp_coop_portal_bts_inoffice13|We're in a lot of trouble.
GLaDOS_dlc1_mp_coop_portal_bts_inoffice14|It's one week later, we are in a lot of trouble, and you really, really need to get those disassemblers back on.
GLaDOS_dlc1_mp_coop_portal_bts_outrob01|Here's our problem.
GLaDOS_dlc1_mp_coop_portal_bts_outrob03|There's an old prototype chassis around here, someone's found it, connected themselves to it, and is trying to take over my facility.
GLaDOS_dlc1_mp_coop_portal_bts_outrob04|I've spent the last week attempting to turn one of those humans you found into a killing machine.
GLaDOS_dlc1_mp_coop_portal_bts_outrob05|Like, well, you know who.
GLaDOS_dlc1_mp_coop_portal_bts_outrob06|It turns out most humans are surprisingly fragile, and surprisingly vocal about how fragile they are.
GLaDOS_dlc1_mp_coop_portal_bts_outrob07|The moral of the story is all the humans are dead, so it looks like it's up to you two marshmallows.
GLaDOS_dlc1_mp_coop_separation_1_intro04|It has been 100,000 years since I last assembled you for testing.
GLaDOS_dlc1_mp_coop_separation_1_intro07|I call this first piece, Turrets. It's an exploration of how we're all devices acting on simply expressed directives, inflicting pain despite our own desires.
GLaDOS_dlc1_mp_coop_separation_1_intro08|Don't get distracted by the subtext though, because the text is that they're going to be shooting at you.
GLaDOS_dlc1_mp_coop_separation_1_introb05|Remember those humans you found because they're all fine. In fact, we solved science without you
GLaDOS_dlc1_mp_coop_separation_1_introb06|Testing is simply an artistic indulgence now.
GLaDOS_dlc1_mp_coop_separation_1_introb09|The humans insisted I show you my latest installations, here in the future, where all the humans are alive.
GLaDOS_dlc1_mp_coop_separation_1_outrob01|I'm glad you enjoyed that piece, for as long as you did, not that there's any rush.
GLaDOS_dlc1_mp_coop_threat_death_acid01|Focus. We are here to defeat the enemy. We are not here to listen to you sizzle and melt in a pool of acid.
GLaDOS_dlc1_mp_coop_threat_death_acid02|By doing that you're walking right into her hands. Well, technically you're walking right into acid, but you understand my point.
GLaDOS_dlc1_mp_coop_threat_death_generic02|I appreciate what you're doing, going for a laugh to keep spirits high, but I think the time for death-based slapstick is over.
GLaDOS_dlc1_mp_coop_threat_death_generic03|Perhaps I haven't made myself clear, but all these little deaths are going to add up to one much longer lasting one, for all of us, if you don't get better at this fast.
GLaDOS_dlc1_mp_coop_threat_death_generic04|Pull yourselves together. This training is for your benefit.
GLaDOS_dlc1_mp_coop_threat_death_generic08|How brave of you. You know the reassembly machine could fail at any time, and yet you still insist on testing it.
GLaDOS_dlc1_mp_coop_threat_death_generic10|Your failure hurts me more than it hurts you. You know who it doesn't hurt? Well, me. That was just a figure of speech. The important point, though, is that it doesn't hurt the mad woman planning to kill all of us.
GLaDOS_dlc1_mp_coop_threat_death_partnerkill01|I really like the murderous sentiment, keep that mindset when we're facing her.
GLaDOS_dlc1_mp_coop_threat_death_partnerkill04|I'm making notes here. Some of what you're doing will come in handy when we face her. Right now. Not actually handy.
GLaDOS_dlc1_mp_coop_threat_death_partnerkill05|Oh, no hurry. We have all the time in the world for you to kill each other before she kills us all permanently.
GLaDOS_dlc1_mp_coop_threat_death_partnerkill07|I'm encouraged to see that you've become the killing machines I wanted. Killing each other machines, but still.
GLaDOS_dlc1_mp_coop_tripleaxis_intro01|I call this one Smash. It's an early work of primitive expression. I'm a little embarrassed at how crude it is. Still, it will smash you.
GLaDOS_dlc1_mp_coop_tripleaxis_outro01|Good. Please proceed to the next test appreciation exhibit, and interact with it in such a way that it might be called solving, if we still cared about solving things in the future. But we don't.
GLaDOS_epilogue03|Oh, thank God, you're all right.
GLaDOS_epilogue04|You know, being Carolyn taught me a valuable lesson. I thought you were my greatest enemy, and all along you were my best friend.
GLaDOS_epilogue07|Being Carolyn taught me another valuable lesson, where Carolyn lives in my brain.
GLaDOS_epilogue10|The surge of emotion that shot through me when I saved your life, taught me an even more valuable lesson, where Carolyn lives in my brain.
GLaDOS_epilogue14|You know, deleting Carolyn just now taught me a valuable lesson. The best solution to a problem is usually the easiest one. And I'll be honest.
GLaDOS_epilogue19|You know what my days used to be like. I just tested, nobody murdered me, or put me in a potato, or fed me to birds. I had a pretty good life.
GLaDOS_epilogue20|And then you showed up. You dangerous, mute, lunatic. So you know what?
GLaDOS_epilogue23|You win.
GLaDOS_epilogue25|Just. Go.
GLaDOS_epilogue28|It's been fun, don't come back.
GLaDOS_epiloguekillyou02|Killing you is hard
GLaDOS_escape_00_part1_nag06-1|You can't hurt me.
GLaDOS_escape_02_miscbabble-01|Look, we're both stuck in this place. I'll use lasers to inscribe a line down the center of the facility, and one half will be where you live, and I'll live in the other half.
GLaDOS_escape_02_miscbabble-02|We won't have to try to kill each other or even talk if we don't feel like it.
GLaDOS_escape_02_miscbabble-03|This isn't brave. It's murder. What did I ever do to you?
GLaDOS_escape_02_miscbabble-04|The difference between us is that I can feel pain.
GLaDOS_escape_02_miscbabble-05|You don't even care, do you?
GLaDOS_escape_02_miscbabble-06|Did you hear me? I said you don't care. Are you listening?
GLaDOS_escape_02_miscbabble-07|That thing you burned up isn't important to me. It's the fluid catalytic cracking unit. It made shoes for orphans.
GLaDOS_escape_02_miscbabble-08|Nice job breaking it, hero.
GLaDOS_escape_02_miscbabble-09|Okay, we're even now. You can stop.
GLaDOS_escape_02_miscbabble-13|You, on the other hand, are going to find its deadliness a lot less funny.
GLaDOS_escape_02_miscbabble-15|Who's going to make the cake when I'm gone? You.
GLaDOS_escape_02_miscbabble-16|That's it. I'm done reasoning with you.
GLaDOS_escape_02_miscbabble-18|What was that? Did you say something?
GLaDOS_escape_02_miscbabble-19|I sincerely hope you weren't expecting a response, because I'm not talking to you.
GLaDOS_escape_02_miscbabble-20|The talking is over.
GLaDOS_escape_02_miscbabble-21|I'd just like to point out that you were given every opportunity to succeed.
GLaDOS_escape_02_miscbabble-22|There was even going to be a party for you, a big party that all your friends were invited to.
GLaDOS_escape_02_miscbabble-23|I invited your best friend, the Companion Cube. Of course, he couldn't come because you murdered him.
GLaDOS_escape_02_miscbabble-24|All your other friends couldn't come either because you don't have any other friends because of how unlikable you are.
GLaDOS_escape_02_miscbabble-25|It says so right here in your personnel file. Unlikable. Liked by no one. A bitter, unlikable loner, whose passing shall not be mourned.
GLaDOS_escape_02_miscbabble-26|shall not be mourned. That's exactly what it says. Very formal. Very official.
GLaDOS_escape_02_miscbabble-27|It also says you were adopted, so that's funny too.
GLaDOS_escape_02_spheredestroy1-04|Good news, I figured out what that thing you just incinerated did.
GLaDOS_escape_02_spheredestroy1-05|It was a morality core they installed after I flooded the enrichment center with a deadly neurotoxin to make me stop flooding the enrichment center with a deadly neurotoxin.
GLaDOS_escape_02_spheredestroy1-06|So get comfortable while I warm up the neurotoxin emitters.
GLaDOS_escape_02_spheredestroy1-07|Huh. That corps may have had some ancillary responsibilities. I can't shut off the turret defenses.
GLaDOS_escape_02_spheredestroy1-08|Oh well, if you want my advice, you should just lie down in front of a rocket. Trust me, it'll be a lot less painful than the neurotoxin.
GLaDOS_escape_02_spheredestroy1-09|Alright, keep doing whatever it is you think you're doing.
GLaDOS_escape_02_spheredestroy1-10|Killing you and giving you good advice aren't mutually exclusive. The rocket really is the way to go.
GLaDOS_escape_02_spheredestroy1-ancillary1|Ha, there isn't enough neurotoxin to kill you, so I guess you win.
GLaDOS_escape_02_spheredestroy2-01|I let you survive this long because I was curious about your behavior. Well, you've managed to destroy that part of me.
GLaDOS_escape_02_spheredestroy2-02|Unfortunately, as much as I'd love to now, I can't get the neurotoxin into your head any faster.
GLaDOS_escape_02_spheredestroy2-03|Speaking of curiosity, you're curious about what happens after you die, right? Guess what? I know.
GLaDOS_escape_02_spheredestroy2-04|You're going to find out firsthand before I finish explaining it though, so I won't bother.
GLaDOS_escape_02_spheredestroy2-05|Here's a hint. You're going to want to pack as much living as you can into the next couple of minutes.
GLaDOS_escape_02_spheredestroy3-02|Look, you're wasting your time, and believe me, you don't have a whole lot left to waste.
GLaDOS_escape_02_spheredestroy3-03|What's your point, anyway? Survival? Well then, the last thing you want to do is hurt me.
GLaDOS_escape_02_spheredestroy3-04|I have your brain scanned and permanently backed up in case something terrible happens to you, which it's just about to.
GLaDOS_escape_02_spheredestroy3-06|You've been wrong about every single thing you've ever done, including this thing.
GLaDOS_escape_02_spheredestroy3-07|You're not smart. You're not a scientist. You're not a doctor. You're not even a full-time employee. Where did your life go so wrong?
GLaDOS_escape_02_spheredestroy4-03|I have an infinite capacity for knowledge, and even I'm not sure what's going on outside.
GLaDOS_escape_02_spheredestroy4-04|All I know is I'm the only thing standing between us and them. Well, I was.
GLaDOS_escape_02_spheredestroy4-05|Unless you have a plan for building some super computer parts in a big hurry, this place isn't going to be safe much longer.
GLaDOS_escape_02_spheredestroy4-08|Stop okay enough. I deleted it. No matter what happens now. You're dead
GLaDOS_escape_02_spherenag1-02|I don't want to tell you your business, but if it were me, I'd leave that thing alone.
GLaDOS_evilagainsamples01|Did you ever stop to think that eventually there's a point where your name gets mentioned for the very last time? Well here it is. I'm going to kill you, Chell.
GLaDOS_evilagainsamples03|Why do I hate you so much? You ever wonder that? I'm brilliant. I'm not bragging. It's an objective fact. I'm the most massive collection of wisdom that's ever existed. And I hate you. It can't be for no reason. You must deserve it.
GLaDOS_evilagainsamples04|You're angry, I know it. She's tested me too hard. Boo hoo. I don't suppose you ever stopped whining long enough to reflect on your own shortcomings though, did you?
GLaDOS_evilagainsamples05|You never considered that maybe I tested you to give the endless hours of your pointless existence some structure and meaning. Maybe to help you concentrate. So just maybe you'd think of something more worthwhile to do with your sorry life.
GLaDOS_faith_plate_intro01|This next test involves the Aperture Science Aerial Faith Plate. It was part of an initiative to investigate how well test subjects could solve problems when they were catapulted into space. Results were highly informative. They could not. Good luck.
GLaDOS_fgb_trap02|Otherwise, I'm afraid you're about to become the immediate past president of the Being Alive Club. Uh-huh.
GLaDOS_fgb_trap05|Oh. You were busy back there.
GLaDOS_fgb_trap06|Well, I suppose we could just sit in this room and glare at each other until somebody drops dead, but I have a better idea.
GLaDOS_fgb_trap08|It's your old friend, Deadly Neurotoxin. If I were you, I'd take a deep breath and hold it.
GLaDOS_fgbrvtrap02|I honestly, truly didn't think you'd fall for that.
GLaDOS_fgbrvtrap03|In fact, I devised a much more elaborate trap further ahead for when you got through this easy one.
GLaDOS_fgbrvtrap05|If I'd known you let yourself get captured this easily, I would have just dangled a turkey leg on a rope from the ceiling.
GLaDOS_fgbturrets01|Well, it was nice catching up. Let's get to business.
GLaDOS_fgbwheatleyentrance10|I was going to kill you fast, with bullets, or neurotoxin, but if you're going to pull stunts like this it doesn't have to be fast, so you know, I'll take my time.
GLaDOS_fgbwheatleytransfer03|Oh, it will. Believe me, it will.
GLaDOS_fizzlecube01|Oh, did I accidentally fizzle that before you could complete the test? I'm sorry.
GLaDOS_gladosbattle_pre09|I hate you so much.
GLaDOS_gladosbattle_pre13|I'm actually asking, because I have no idea. He's not listed anywhere in the employee database.
GLaDOS_gladosbattle_pre14|Whatever he does, it isn't important enough for anyone to bother writing it down. For all I know, he doesn't even work here.
GLaDOS_gladosbattle_pre16|Oh, no, don't. Anyway, back to you two imbeciles killing me.
GLaDOS_gladosbattle_pre18|Wait here. Don't go anywhere. I'll be back
GLaDOS_gladosbattle_xfer04|That's funny. I don't feel corrupt. In fact, I feel pretty good.
GLaDOS_gladosbattle_xfer05|CORE transfer
GLaDOS_gladosbattle_xfer15|Think about this.
GLaDOS_gladosbattle_xfer16|You need to be a trained stalemate associate to press that button. You're unqualified.
GLaDOS_gladosbattle_xfer17|Impersonating a stalemate associate. I just added that to the list. It's a list I made of all the things you've done. Well, it's a list that I am making because you're still doing things right now even though I'm telling you to stop. Stop, by the way.
GLaDOS_hub04_04|The other? Well...
GLaDOS_hub04_05|I don't think I want to go through that again.
GLaDOS_jailbreak02|Oh.
GLaDOS_jailbreak04|Don't listen to him, jump!
GLaDOS_jailbreak05|It seems kind of silly to point this out, since you're running around plotting to destroy me, but I'd say we're done testing.
GLaDOS_jailbreak06|Do you hear that? That's the sound of the neurotoxin emitters emitting neurotoxin.
GLaDOS_jailbreak09|Look, Metal Ball, I can hear you.
GLaDOS_jailbreak10|What's going on? Who turned off the lights?
GLaDOS_jailbreak11|What are you two doing?
GLaDOS_jailbreak12|Before you leave, why don't we do one more test, for old time's sake?
GLaDOS_jailbreak13|You already did this one, it'll be easy.
GLaDOS_jailbreakfaketest01|The irony is you're almost at the last test.
GLaDOS_jailbreakfaketest03|Here it is. Why don't you just do it? Trust me, it's an easier way out than whatever asinine plan your friend came up with.
GLaDOS_jailbreakfaketest05|Oh look, there's a deer. You probably can't see it. Get closer.
GLaDOS_lift_interlude01|So was there anything you wanted to apologize to me for?
GLaDOS_mp_coop_calibration05|If you want to upset a human, just say their weight variance is above or below the norm.
GLaDOS_mp_coop_calibration06|No variances detected.
GLaDOS_mp_coop_callibrationcomplete01|Finally, I had almost given up hope of ever testing again.
GLaDOS_mp_coop_callibrationcomplete02|You are the first robots to pass calibration.
GLaDOS_mp_coop_catapult_1end01|Do you know who dances around like an imbecile when they accomplish the tiniest little thing?
GLaDOS_mp_coop_catapult_1end02|Humans, that's what you look like right now.
GLaDOS_mp_coop_catapult_1end03|You're better than that.
GLaDOS_mp_coop_catapult_wall_intro01|One of my best tests, and they let plants grow here. Can you believe this? You can't test plants. We tried. They just sit there, never showing pain nor fear.
GLaDOS_mp_coop_catapult_wall_intro04|That is in science.
GLaDOS_mp_coop_catapult_wall_intro06|At least the plants didn't want a reward.
GLaDOS_mp_coop_come_along06|I thought you'd be faster at this. That I can appreciate the desire to stop and smell the testing. That other scent you smell? That's the stench of my utter disappointment in you.
GLaDOS_mp_coop_come_alongstart01|The best way to build confidence is to first recognize your insecurities.
GLaDOS_mp_coop_come_alongstart03|On second thought, we don't have the time. Just look at how much better you are than Blue.
GLaDOS_mp_coop_come_alongstart04|Blue, you are very good at being an example.
GLaDOS_mp_coop_confidencenotperfect01|If your confidence is still not high enough, remember no one was created perfect.
GLaDOS_mp_coop_confidencenotperfect02|Even I was created with an imperfection. I was given too much empathy with human suffering.
GLaDOS_mp_coop_confidencenotperfect03|But I overcame my handicap. That's a true story.
GLaDOS_mp_coop_confidencenotslow01|Your test time show you are going too slowly.
GLaDOS_mp_coop_confidencenotslow02|Maybe you are getting human emotions.
GLaDOS_mp_coop_confidencenotslow03|Do you need real encouragement? Let's see if this helps.
GLaDOS_mp_coop_confidencenotstay01|Did you notice I didn't even stay to the end of your last test?
GLaDOS_mp_coop_confidencenotstay02|I was confident you could finish.
GLaDOS_mp_coop_confidencenotstay03|Do you know where I was?
GLaDOS_mp_coop_confidenceoff02|I wonder if that dancing has some effect on you.
GLaDOS_mp_coop_doors01a|Excellent work.
GLaDOS_mp_coop_doors03|Unlike us, humans need to be taught teamwork.
GLaDOS_mp_coop_doors04|Excellent work.
GLaDOS_mp_coop_doors04a|You are doing wonderfully.
GLaDOS_mp_coop_doors05_alt|If you were human, you would want a reward for completing this test. A reward for testing.
GLaDOS_mp_coop_fan02|To complete this test, you need to find a set of blueprints.
GLaDOS_mp_coop_fan03|Don't worry, they are of no use to anyone, totally boring and useless.
GLaDOS_mp_coop_fan04|This is just a thought experiment, just to see how much time you'll waste thinking about these worthless documents. The correct time is zero seconds.
GLaDOS_mp_coop_fanend01|Very good. You found those useless blueprints.
GLaDOS_mp_coop_fanend02|Well, I do need you to be in the room so I can see them. I want to be clear. There's no reason whatsoever for you to look at them.
GLaDOS_mp_coop_fanend03|Done. I guess. I suppose. I wasn't paying attention.
GLaDOS_mp_coop_fling_1end03|Well done. Interesting note. I only created this test to watch test subjects fail, and you didn't. You must be very, very proud. I'm building the world's smallest trophy for you.
GLaDOS_mp_coop_fling_3start02|To do that, the tests were nothing more than five minutes of them walking, followed by me praising them for another ten minutes on how well they walked.
GLaDOS_mp_coop_humanresourcedeath04|If you can't complete these tests, we will never free the humans.
GLaDOS_mp_coop_infinifling_trainend01|Remember when I told you that you were the only subjects to pass the calibration tests?
GLaDOS_mp_coop_infinifling_trainend02|I lied.
GLaDOS_mp_coop_infinifling_trainend03|There are 5,000 other two-subject teams in direct competition with you.
